Entity,Day,daily_vaccinations
Arizona,13/03/2021,62981
Arizona,14/03/2021,56433
Arizona,15/03/2021,55772
Arizona,16/03/2021,58490
Arkansas,13/01/2021,53975
Arkansas,14/01/2021,33718
Arkansas,15/01/2021,25820
Arkansas,16/01/2021,20865
Arkansas,17/01/2021,17892
Arkansas,18/01/2021,15910
Arkansas,19/01/2021,14494
Arkansas,20/01/2021,11208
Arkansas,21/01/2021,9285
Arkansas,22/01/2021,11905
Arkansas,23/01/2021,11048
Arkansas,24/01/2021,11986
Arkansas,25/01/2021,12108
Arkansas,26/01/2021,13422
Arkansas,27/01/2021,11359
Arkansas,28/01/2021,11359
Arkansas,29/01/2021,9760
Arkansas,30/01/2021,12425
Arkansas,31/01/2021,12793
Arkansas,01/02/2021,12876
Arkansas,02/02/2021,11169
Arkansas,03/02/2021,9946
Arkansas,04/02/2021,12200
Arkansas,05/02/2021,11597
Arkansas,06/02/2021,12289
Arkansas,07/02/2021,12807
Arkansas,08/02/2021,12919
Arkansas,09/02/2021,12808
Arkansas,10/02/2021,13658
Arkansas,11/02/2021,13225
Arkansas,12/02/2021,13710
Arkansas,13/02/2021,11816
Arkansas,14/02/2021,11299
Arkansas,15/02/2021,10903
Arkansas,16/02/2021,11330
Arkansas,17/02/2021,9842
Arkansas,18/02/2021,8562
Arkansas,19/02/2021,10018
Arkansas,20/02/2021,9074
Arkansas,21/02/2021,7990
Arkansas,22/02/2021,8204
Arkansas,23/02/2021,8108
Arkansas,24/02/2021,9645
Arkansas,25/02/2021,11688
Arkansas,26/02/2021,11531
Arkansas,27/02/2021,14537
Arkansas,28/02/2021,17263
Arkansas,01/03/2021,18023
Arkansas,02/03/2021,18660
Arkansas,03/03/2021,18995
Arkansas,04/03/2021,18831
Arkansas,05/03/2021,17967
Arkansas,06/03/2021,17353
Arkansas,07/03/2021,16564
Arkansas,08/03/2021,15969
Arkansas,09/03/2021,15991
Arkansas,10/03/2021,15964
Arkansas,11/03/2021,13675
Arkansas,12/03/2021,16122
Arkansas,13/03/2021,19784
Arkansas,14/03/2021,16767
Arkansas,15/03/2021,17033
Arkansas,16/03/2021,16330
California,13/01/2021,75188
California,14/01/2021,79496
California,15/01/2021,85553
California,16/01/2021,88381
California,17/01/2021,90079
California,18/01/2021,91210
California,19/01/2021,92018
California,20/01/2021,91549
California,21/01/2021,94083
California,22/01/2021,104389
California,23/01/2021,119770
California,24/01/2021,133316
California,25/01/2021,138153
California,26/01/2021,140878
California,27/01/2021,149620
California,28/01/2021,159000
California,29/01/2021,158126
California,30/01/2021,155366
California,31/01/2021,155063
California,01/02/2021,160379
California,02/02/2021,156749
California,03/02/2021,155950
California,04/02/2021,139561
California,05/02/2021,144296
California,06/02/2021,148831
California,07/02/2021,171402
California,08/02/2021,175654
California,09/02/2021,177237
California,10/02/2021,183712
California,11/02/2021,201580
California,12/02/2021,202925
California,13/02/2021,203565
California,14/02/2021,190746
California,15/02/2021,190404
California,16/02/2021,203788
California,17/02/2021,195102
California,18/02/2021,194468
California,19/02/2021,231928
California,20/02/2021,234166
California,21/02/2021,233297
California,22/02/2021,227005
California,23/02/2021,216733
California,24/02/2021,221857
California,25/02/2021,223997
California,26/02/2021,192335
California,27/02/2021,194965
California,28/02/2021,195368
California,01/03/2021,214479
California,02/03/2021,252715
California,03/03/2021,265023
California,04/03/2021,256584
California,05/03/2021,251504
California,06/03/2021,264079
California,07/03/2021,259101
California,08/03/2021,242771
California,09/03/2021,204065
California,10/03/2021,190191
California,11/03/2021,194328
California,12/03/2021,193794
California,13/03/2021,209548
California,14/03/2021,178375
California,15/03/2021,214448
California,16/03/2021,251553
Colorado,13/01/2021,15237
Colorado,14/01/2021,15139
Colorado,15/01/2021,15935
Colorado,16/01/2021,15580
Colorado,17/01/2021,15367
Colorado,18/01/2021,15225
Colorado,19/01/2021,15123
Colorado,20/01/2021,14396
Colorado,21/01/2021,14070
Colorado,22/01/2021,15007
Colorado,23/01/2021,12934
Colorado,24/01/2021,19033
Colorado,25/01/2021,18872
Colorado,26/01/2021,18208
Colorado,27/01/2021,19156
Colorado,28/01/2021,20359
Colorado,29/01/2021,20657
Colorado,30/01/2021,24010
Colorado,31/01/2021,19248
Colorado,01/02/2021,20272
Colorado,02/02/2021,20514
Colorado,03/02/2021,20371
Colorado,04/02/2021,20460
Colorado,05/02/2021,19975
Colorado,06/02/2021,21358
Colorado,07/02/2021,22952
Colorado,08/02/2021,23168
Colorado,09/02/2021,22316
Colorado,10/02/2021,24274
Colorado,11/02/2021,25169
Colorado,12/02/2021,26131
Colorado,13/02/2021,27246
Colorado,14/02/2021,28130
Colorado,15/02/2021,30249
Colorado,16/02/2021,34720
Colorado,17/02/2021,33875
Colorado,18/02/2021,33990
Colorado,19/02/2021,41118
Colorado,20/02/2021,40331
Colorado,21/02/2021,39336
Colorado,22/02/2021,38285
Colorado,23/02/2021,33267
Colorado,24/02/2021,34876
Colorado,25/02/2021,34456
Colorado,26/02/2021,27248
Colorado,27/02/2021,22403
Colorado,28/02/2021,24202
Colorado,01/03/2021,25887
Colorado,02/03/2021,27913
Colorado,03/03/2021,27679
Colorado,04/03/2021,28668
Colorado,05/03/2021,29383
Colorado,06/03/2021,36492
Colorado,07/03/2021,36417
Colorado,08/03/2021,30650
Colorado,09/03/2021,31695
Colorado,10/03/2021,33203
Colorado,11/03/2021,38451
Colorado,12/03/2021,41169
Colorado,13/03/2021,42625
Colorado,14/03/2021,36020
Colorado,15/03/2021,43751
Colorado,16/03/2021,42517
Connecticut,13/01/2021,10480
Connecticut,14/01/2021,10251
Connecticut,15/01/2021,11490
Connecticut,16/01/2021,11346
Connecticut,17/01/2021,11260
Connecticut,18/01/2021,11202
Connecticut,19/01/2021,11161
Connecticut,20/01/2021,11609
Connecticut,21/01/2021,13259
Connecticut,22/01/2021,14511
Connecticut,23/01/2021,15716
Connecticut,24/01/2021,16292
Connecticut,25/01/2021,16094
Connecticut,26/01/2021,16160
Connecticut,27/01/2021,16836
Connecticut,28/01/2021,16636
Connecticut,29/01/2021,16561
Connecticut,30/01/2021,16342
Connecticut,31/01/2021,16444
Connecticut,01/02/2021,16856
Connecticut,02/02/2021,16207
Connecticut,03/02/2021,14860
Connecticut,04/02/2021,14381
Connecticut,05/02/2021,14140
Connecticut,06/02/2021,14030
Connecticut,07/02/2021,13871
Connecticut,08/02/2021,13309
Connecticut,09/02/2021,14033
Connecticut,10/02/2021,15677
Connecticut,11/02/2021,16918
Connecticut,12/02/2021,17762
Connecticut,13/02/2021,19338
Connecticut,14/02/2021,20109
Connecticut,15/02/2021,21501
Connecticut,16/02/2021,22403
Connecticut,17/02/2021,23349
Connecticut,18/02/2021,23848
Connecticut,19/02/2021,27991
Connecticut,20/02/2021,27579
Connecticut,21/02/2021,26547
Connecticut,22/02/2021,27122
Connecticut,23/02/2021,25963
Connecticut,24/02/2021,24835
Connecticut,25/02/2021,22680
Connecticut,26/02/2021,18791
Connecticut,27/02/2021,18913
Connecticut,28/02/2021,20562
Connecticut,01/03/2021,21218
Connecticut,02/03/2021,21039
Connecticut,03/03/2021,21335
Connecticut,04/03/2021,23052
Connecticut,05/03/2021,23909
Connecticut,06/03/2021,25272
Connecticut,07/03/2021,27307
Connecticut,08/03/2021,28223
Connecticut,09/03/2021,29362
Connecticut,10/03/2021,30172
Connecticut,11/03/2021,30998
Connecticut,12/03/2021,31976
Connecticut,13/03/2021,36344
Connecticut,14/03/2021,30845
Connecticut,15/03/2021,30511
Connecticut,16/03/2021,30664
Delaware,13/01/2021,2003
Delaware,14/01/2021,2340
Delaware,15/01/2021,1560
Delaware,16/01/2021,1887
Delaware,17/01/2021,2083
Delaware,18/01/2021,2213
Delaware,19/01/2021,2307
Delaware,20/01/2021,2461
Delaware,21/01/2021,2611
Delaware,22/01/2021,3310
Delaware,23/01/2021,3724
Delaware,24/01/2021,3909
Delaware,25/01/2021,3889
Delaware,26/01/2021,3707
Delaware,27/01/2021,4544
Delaware,28/01/2021,4703
Delaware,29/01/2021,4720
Delaware,30/01/2021,4641
Delaware,31/01/2021,5110
Delaware,01/02/2021,5112
Delaware,02/02/2021,5038
Delaware,03/02/2021,4299
Delaware,04/02/2021,4071
Delaware,05/02/2021,3847
Delaware,06/02/2021,3709
Delaware,07/02/2021,3353
Delaware,08/02/2021,3422
Delaware,09/02/2021,3393
Delaware,10/02/2021,3225
Delaware,11/02/2021,3227
Delaware,12/02/2021,3195
Delaware,13/02/2021,3375
Delaware,14/02/2021,3287
Delaware,15/02/2021,3252
Delaware,16/02/2021,3552
Delaware,17/02/2021,3571
Delaware,18/02/2021,3782
Delaware,19/02/2021,5531
Delaware,20/02/2021,5500
Delaware,21/02/2021,4929
Delaware,22/02/2021,4927
Delaware,23/02/2021,4890
Delaware,24/02/2021,4961
Delaware,25/02/2021,5098
Delaware,26/02/2021,4063
Delaware,27/02/2021,4591
Delaware,28/02/2021,5482
Delaware,01/03/2021,5925
Delaware,02/03/2021,5543
Delaware,03/03/2021,6833
Delaware,04/03/2021,7237
Delaware,05/03/2021,7327
Delaware,06/03/2021,7409
Delaware,07/03/2021,8022
Delaware,08/03/2021,7900
Delaware,09/03/2021,8526
Delaware,10/03/2021,6799
Delaware,11/03/2021,7643
Delaware,12/03/2021,7564
Delaware,13/03/2021,7598
Delaware,14/03/2021,6046
Delaware,15/03/2021,7603
Delaware,16/03/2021,7618
District of Columbia,13/01/2021,3237
District of Columbia,14/01/2021,3434
District of Columbia,15/01/2021,3374
District of Columbia,16/01/2021,3159
District of Columbia,17/01/2021,3030
District of Columbia,18/01/2021,2944
District of Columbia,19/01/2021,2882
District of Columbia,20/01/2021,2669
District of Columbia,21/01/2021,2633
District of Columbia,22/01/2021,2419
District of Columbia,23/01/2021,2478
District of Columbia,24/01/2021,2490
District of Columbia,25/01/2021,2388
District of Columbia,26/01/2021,2109
District of Columbia,27/01/2021,2336
District of Columbia,28/01/2021,2247
District of Columbia,29/01/2021,2352
District of Columbia,30/01/2021,2411
District of Columbia,31/01/2021,2591
District of Columbia,01/02/2021,2618
District of Columbia,02/02/2021,2686
District of Columbia,03/02/2021,2426
District of Columbia,04/02/2021,3322
District of Columbia,05/02/2021,3648
District of Columbia,06/02/2021,3623
District of Columbia,07/02/2021,3613
District of Columbia,08/02/2021,3708
District of Columbia,09/02/2021,3560
District of Columbia,10/02/2021,3344
District of Columbia,11/02/2021,2518
District of Columbia,12/02/2021,2178
District of Columbia,13/02/2021,2033
District of Columbia,14/02/2021,2213
District of Columbia,15/02/2021,2204
District of Columbia,16/02/2021,2575
District of Columbia,17/02/2021,2855
District of Columbia,18/02/2021,2674
District of Columbia,19/02/2021,6143
District of Columbia,20/02/2021,6197
District of Columbia,21/02/2021,5909
District of Columbia,22/02/2021,5757
District of Columbia,23/02/2021,5746
District of Columbia,24/02/2021,5983
District of Columbia,25/02/2021,6085
District of Columbia,26/02/2021,2705
District of Columbia,27/02/2021,3587
District of Columbia,28/02/2021,4582
District of Columbia,01/03/2021,4834
District of Columbia,02/03/2021,4641
District of Columbia,03/03/2021,4535
District of Columbia,04/03/2021,4913
District of Columbia,05/03/2021,5099
District of Columbia,06/03/2021,5127
District of Columbia,07/03/2021,4447
District of Columbia,08/03/2021,4580
District of Columbia,09/03/2021,4779
District of Columbia,10/03/2021,5157
District of Columbia,11/03/2021,5234
District of Columbia,12/03/2021,5479
District of Columbia,13/03/2021,5128
District of Columbia,14/03/2021,5518
District of Columbia,15/03/2021,5869
District of Columbia,16/03/2021,5965
Florida,13/01/2021,71958
Florida,14/01/2021,70522
Florida,15/01/2021,73214
Florida,16/01/2021,75010
Florida,17/01/2021,76089
Florida,18/01/2021,76807
Florida,19/01/2021,77321
Florida,20/01/2021,76368
Florida,21/01/2021,66499
Florida,22/01/2021,65899
Florida,23/01/2021,79360
Florida,24/01/2021,75844
Florida,25/01/2021,64359
Florida,26/01/2021,57258
Florida,27/01/2021,56074
Florida,28/01/2021,66754
Florida,29/01/2021,68838
Florida,30/01/2021,57314
Florida,31/01/2021,59262
Florida,01/02/2021,65798
Florida,02/02/2021,67522
Florida,03/02/2021,71525
Florida,04/02/2021,73786
Florida,05/02/2021,66357
Florida,06/02/2021,70806
Florida,07/02/2021,92557
Florida,08/02/2021,86021
Florida,09/02/2021,97594
Florida,10/02/2021,100338
Florida,11/02/2021,104854
Florida,12/02/2021,136471
Florida,13/02/2021,137942
Florida,14/02/2021,122904
Florida,15/02/2021,132271
Florida,16/02/2021,123957
Florida,17/02/2021,123862
Florida,18/02/2021,123071
Florida,19/02/2021,140344
Florida,20/02/2021,122067
Florida,21/02/2021,131314
Florida,22/02/2021,122457
Florida,23/02/2021,115287
Florida,24/02/2021,114305
Florida,25/02/2021,112282
Florida,26/02/2021,72297
Florida,27/02/2021,88065
Florida,28/02/2021,93910
Florida,01/03/2021,93905
Florida,02/03/2021,95984
Florida,03/03/2021,94949
Florida,04/03/2021,101286
Florida,05/03/2021,106303
Florida,06/03/2021,123715
Florida,07/03/2021,122290
Florida,08/03/2021,122410
Florida,09/03/2021,126219
Florida,10/03/2021,128975
Florida,11/03/2021,145410
Florida,12/03/2021,166386
Florida,13/03/2021,188491
Florida,14/03/2021,172548
Florida,15/03/2021,173075
Florida,16/03/2021,176638
Georgia,13/01/2021,28185
Georgia,14/01/2021,30367
Georgia,15/01/2021,20245
Georgia,16/01/2021,20248
Georgia,17/01/2021,20250
Georgia,18/01/2021,20251
Georgia,19/01/2021,20252
Georgia,20/01/2021,28327
Georgia,21/01/2021,31794
Georgia,22/01/2021,53169
Georgia,23/01/2021,50358
Georgia,24/01/2021,47464
Georgia,25/01/2021,44570
Georgia,26/01/2021,50893
Georgia,27/01/2021,45117
Georgia,28/01/2021,44336
Georgia,29/01/2021,29544
Georgia,30/01/2021,36097
Georgia,31/01/2021,43160
Georgia,01/02/2021,46636
Georgia,02/02/2021,38782
Georgia,03/02/2021,37453
Georgia,04/02/2021,34833
Georgia,05/02/2021,34476
Georgia,06/02/2021,34588
Georgia,07/02/2021,34263
Georgia,08/02/2021,33889
Georgia,09/02/2021,34269
Georgia,10/02/2021,35545
Georgia,11/02/2021,37854
Georgia,12/02/2021,31628
Georgia,13/02/2021,32847
Georgia,14/02/2021,41671
Georgia,15/02/2021,41120
Georgia,16/02/2021,41927
Georgia,17/02/2021,35656
Georgia,18/02/2021,42314
Georgia,19/02/2021,63968
Georgia,20/02/2021,65423
Georgia,21/02/2021,59020
Georgia,22/02/2021,59729
Georgia,23/02/2021,58141
Georgia,24/02/2021,63689
Georgia,25/02/2021,56090
Georgia,26/02/2021,41854
Georgia,27/02/2021,40474
Georgia,28/02/2021,31656
Georgia,01/03/2021,28421
Georgia,02/03/2021,29231
Georgia,03/03/2021,30608
Georgia,04/03/2021,32206
Georgia,05/03/2021,34177
Georgia,06/03/2021,34002
Georgia,07/03/2021,42017
Georgia,08/03/2021,45624
Georgia,09/03/2021,45880
Georgia,10/03/2021,39354
Georgia,11/03/2021,42373
Georgia,12/03/2021,49346
Georgia,13/03/2021,53327
Georgia,14/03/2021,55396
Georgia,15/03/2021,56869
Georgia,16/03/2021,57724
Hawaii,13/01/2021,3122
Hawaii,14/01/2021,7251
Hawaii,15/01/2021,4492
Hawaii,16/01/2021,4431
Hawaii,17/01/2021,4395
Hawaii,18/01/2021,4370
Hawaii,19/01/2021,4353
Hawaii,20/01/2021,5048
Hawaii,21/01/2021,4490
Hawaii,22/01/2021,5405
Hawaii,23/01/2021,4798
Hawaii,24/01/2021,4191
Hawaii,25/01/2021,4627
Hawaii,26/01/2021,4258
Hawaii,27/01/2021,3678
Hawaii,28/01/2021,3504
Hawaii,29/01/2021,3767
Hawaii,30/01/2021,5101
Hawaii,31/01/2021,6354
Hawaii,01/02/2021,6249
Hawaii,02/02/2021,6308
Hawaii,03/02/2021,6571
Hawaii,04/02/2021,6738
Hawaii,05/02/2021,8364
Hawaii,06/02/2021,8365
Hawaii,07/02/2021,8254
Hawaii,08/02/2021,8314
Hawaii,09/02/2021,8017
Hawaii,10/02/2021,7193
Hawaii,11/02/2021,7073
Hawaii,12/02/2021,5585
Hawaii,13/02/2021,5532
Hawaii,14/02/2021,5449
Hawaii,15/02/2021,5306
Hawaii,16/02/2021,6162
Hawaii,17/02/2021,6669
Hawaii,18/02/2021,6682
Hawaii,19/02/2021,13223
Hawaii,20/02/2021,13564
Hawaii,21/02/2021,13968
